Customer Name,Street Address,Unit,City,State,ZIP,Latitude,Longitude
Sloane's,197 N Harvard,,St Allston,MA,02134,42.3635867,-71.1294978
Somaek,11 Temple Pl.,,Boston,MA,02111,42.3552282,-71.0620613
Somerset Club,42 Beacon Street,,Boston,MA,02137,42.2538627,-71.1161089
Capo,443 W Broadway,,South Boston,MA,02127,42.3360964,-71.0470171
Fat Baby,118 Dorchester St,,South Boston,MA,02127,42.3350453,-71.046167
Hunter's Kitchen & Bar,110 Dorchester St,,Boston,MA,02127,42.335126,-71.0459636
Loco Taqueria,412 W Broadway,,South Boston,MA,02127,42.3370536,-71.0477128
Prima,12 Park Street,,Charlestown,MA,02129,42.3723641,-71.0616211
Spoke Wine Bar,89 Holland St.,,Somerville,MA,02144,42.3988942,-71.1243071
State Fruit,488 Belleville Ave,,New Bedford,MA,02746,41.6644891,-70.9228469
Stephanie's on Newbury,190 Newbury St.,,Boston,MA,02116,42.350176,-71.079582
Stillwater,120 Kingston St,,Boston,MA,02111,42.3522131,-71.0590854
Sugar Factory,101 S. Market Street,,Boston,MA,02201,42.3601223,-71.0535195
Nightshade Attn: Sushi Mommie,73 Exchange St,,Lynn,MA,01901,42.4634841,-70.9427026
Sushi Sang Lee,36 East Main St,,Gloucester,MA,01930,42.6166335,-70.6479678
Tasting Counter,24 Park St.,unit 3,Somerville,MA,02143,42.3823399,-71.1067181
Tasting Counter,14 TYLER STREET,,Somerville,MA,02143,42.3821336,-71.1064175
Talise,33 River Rd.,,Gloucester,MA,01930,42.6529331,-70.6764365
Tall Order,70 Beacon St.,,Somerville,MA,02143,42.3763634,-71.1042884
Ten Yen,56 Main St.,,Orleans,MA,02653,41.7868896,-69.988898
Terrique Chambers,60 Taunton Ave,,Hyde Park,MA,02126,42.2675706,-71.1070162
The Bluebird Bar,1293 Washington St,,Newton,MA,02462,42.3253871,-71.257616
The Butcherie,428 Harvard St,,Brookline,MA,02446,42.3455841,-71.1276809
